,X,Hour.of.Day.Ending.at.LST,Hour,Total.Solar.Rad..ly,X.Wind.Ave.mph,X.Wind.V.Dir.Deg,X.Wind.Max.mph,Air.Temperature.Mean.Deg.F,Soil.Temperature.Mean.Deg.F,Relative.Humidity.Mean.Perent,X.Dew.Point.Deg.F,X.Wet.Bulb.Deg.F,X.Baro.Press.in.Hg,X.Total.Preip.inhes,day,month,year,month.day.hour
635,1526,11:00 AM,11,74.6,4.7,163,13.7,79.1,73.4,15,27,52,25.66,0,27,4,19,4.27.11
636,1626,12:00 PM,12,85,5.9,224,18.2,79.3,73.5,14,27,52,25.65,0,27,4,19,4.27.12
637,1726,1:00 PM,13,82.3,6.6,240,16.5,80,73.9,13,25,52,25.64,0,27,4,19,4.27.13
638,1826,2:00 PM,14,69.2,7.7,233,23.3,80.4,74.7,13,25,52,25.62,0,27,4,19,4.27.14
639,1926,3:00 PM,15,65,5.3,212,22.7,81.6,75.7,12,24,52,25.6,0,27,4,19,4.27.15
640,2026,4:00 PM,16,41.2,4.9,227,16.4,81.1,76.8,12,24,52,25.58,0,27,4,19,4.27.16
641,2126,5:00 PM,17,18.7,3.7,211,11.5,79.5,77.9,13,24,51,25.57,0,27,4,19,4.27.17
642,2226,6:00 PM,18,8.3,2.9,198,12.9,78.3,78.8,13,23,51,25.56,0,27,4,19,4.27.18
643,2326,7:00 PM,19,0.4,2.4,259,6.7,74.3,79.4,14,23,49,25.56,0,27,4,19,4.27.19
644,2426,8:00 PM,20,0,7.4,272,24.6,72.3,79.7,17,25,49,25.57,0,27,4,19,4.27.20
645,2526,9:00 PM,21,0,19.1,302,28.4,71.5,79.7,19,27,49,25.58,0,27,4,19,4.27.21
646,2626,10:00 PM,22,0,21,302,32.4,70.4,79.5,17,24,48,25.58,0,27,4,19,4.27.22
647,2726,11:00 PM,23,0,22.9,307,33.8,69.3,79.1,17,22,47,25.58,0,27,4,19,4.27.23
648,2826,12:00 AM,0,0,22.2,307,33.2,68.6,78.7,16,21,46,25.57,0,27,4,19,4.27.0
649,527,1:00 AM,1,0,21.6,315,34.2,68.5,78.2,14,18,45,25.56,0,28,4,19,4.28.1
650,627,2:00 AM,2,0,23.7,301,36.5,67.6,77.7,14,17,45,25.54,0,28,4,19,4.28.2
651,727,3:00 AM,3,0,21,288,34.5,67.5,77.1,14,16,45,25.55,0,28,4,19,4.28.3
652,827,4:00 AM,4,0,13.1,280,23.2,67.3,76.6,14,17,45,25.55,0,28,4,19,4.28.4
653,927,5:00 AM,5,0.1,8,273,18.9,67.1,76.1,14,17,45,25.56,0,28,4,19,4.28.5
654,1027,6:00 AM,6,5.4,7.7,267,19.7,67.5,75.6,15,18,45,25.56,0,28,4,19,4.28.6
655,1127,7:00 AM,7,23.6,10.5,296,24.5,70,75,15,20,47,25.57,0,28,4,19,4.28.7
656,1227,8:00 AM,8,37.3,13.2,291,25.6,71.8,74.5,14,19,47,25.58,0,28,4,19,4.28.8
657,1327,9:00 AM,9,59.8,13.6,301,25.4,74.6,74.1,12,18,48,25.58,0,28,4,19,4.28.9
658,1427,10:00 AM,10,70.6,9.7,287,23.5,76.2,73.8,11,19,49,25.58,0,28,4,19,4.28.10
659,1527,11:00 AM,11,78.7,7.1,269,19.1,77.8,73.6,12,21,50,25.58,0,28,4,19,4.28.11
660,1627,12:00 PM,12,80.5,7.8,267,22.6,79.1,73.7,12,21,51,25.57,0,28,4,19,4.28.12
661,1727,1:00 PM,13,75.7,8,269,21.3,80.4,74.1,11,21,51,25.55,0,28,4,19,4.28.13
662,1827,2:00 PM,14,57.5,8.8,269,25.3,81.5,74.8,10,21,51,25.54,0,28,4,19,4.28.14
663,1927,3:00 PM,15,27.4,8.9,275,26.7,79.6,75.8,11,21,51,25.52,0,28,4,19,4.28.15
664,2027,4:00 PM,16,11.5,7.1,263,32.3,77.5,76.8,12,21,50,25.52,0,28,4,19,4.28.16
665,2127,5:00 PM,17,5,11.1,270,27.6,74.4,77.7,16,25,50,25.53,0,28,4,19,4.28.17
666,2227,6:00 PM,18,2.9,10.5,281,27.5,73.3,78.3,17,26,49,25.53,0,28,4,19,4.28.18
667,2327,7:00 PM,19,0.3,6.1,271,16.7,72.1,78.6,18,26,49,25.53,0,28,4,19,4.28.19
668,2427,8:00 PM,20,0,4.6,244,14.9,71.2,78.6,19,27,49,25.54,0,28,4,19,4.28.20
669,2527,9:00 PM,21,0,3.3,257,14.6,69.2,78.5,21,27,48,25.55,0,28,4,19,4.28.21
670,2627,10:00 PM,22,0,3.3,286,8.4,67.5,78.3,23,28,48,25.54,0,28,4,19,4.28.22
671,2727,11:00 PM,23,0,2.9,262,9.9,67.9,78,22,28,48,25.53,0,28,4,19,4.28.23
672,2827,12:00 AM,0,0,2.7,255,9.9,67.3,77.6,22,28,47,25.53,0,28,4,19,4.28.0
673,528,1:00 AM,1,0,2.9,241,10.7,67.8,77.1,22,28,48,25.51,0,29,4,19,4.29.1
674,628,2:00 AM,2,0,1.8,56,6.3,66,76.7,27,31,48,25.49,0,29,4,19,4.29.2
675,728,3:00 AM,3,0,4.3,88,17.1,63.7,76.2,32,33,48,25.49,0,29,4,19,4.29.3
676,828,4:00 AM,4,0,1.8,15,4.9,60.7,75.7,40,36,48,25.47,0,29,4,19,4.29.4
677,928,5:00 AM,5,0,1.7,122,4.2,62.7,75.3,34,34,48,25.46,0,29,4,19,4.29.5
678,1028,6:00 AM,6,3.8,6,110,14,61.8,74.8,37,35,48,25.46,0,29,4,19,4.29.6
679,1128,7:00 AM,7,18.2,7.6,109,17.8,62.4,74.3,42,39,49,25.46,0.01,29,4,19,4.29.7
680,1228,8:00 AM,8,5.5,4.9,128,12.6,58.9,73.9,54,42,49,25.46,0.08,29,4,19,4.29.8
681,1328,9:00 AM,9,19.2,2.9,108,7.6,59.9,73.5,56,44,51,25.47,0,29,4,19,4.29.9
682,1428,10:00 AM,10,26.5,3.3,65,11.8,61.6,73.1,50,43,51,25.47,0,29,4,19,4.29.10
683,1528,11:00 AM,11,64.8,4.3,205,12.9,64.9,72.7,38,38,50,25.46,0,29,4,19,4.29.11
684,1628,12:00 PM,12,53.8,6.3,252,17.8,64.3,72.6,42,40,51,25.45,0,29,4,19,4.29.12
685,1728,1:00 PM,13,74.7,13.7,311,30,61.9,72.5,51,44,51,25.44,0,29,4,19,4.29.13
686,1828,2:00 PM,14,49.7,15.9,313,26.5,60.8,72.8,50,42,50,25.43,0,29,4,19,4.29.14
687,1928,3:00 PM,15,20.6,9.4,307,21.6,61.2,73.1,44,39,49,25.42,0,29,4,19,4.29.15
688,2028,4:00 PM,16,21.7,4.6,149,13.4,61.9,73.6,29,29,46,25.43,0,29,4,19,4.29.16
689,2128,5:00 PM,17,1.5,7.7,201,24.7,55.8,73.9,49,36,45,25.46,0.04,29,4,19,4.29.17
690,2228,6:00 PM,18,0.4,11.1,277,22.5,46.8,74.1,84,42,44,25.49,0.42,29,4,19,4.29.18
691,2328,7:00 PM,19,0.1,6,304,12.1,47.6,73.9,82,42,45,25.5,0.07,29,4,19,4.29.19
692,2428,8:00 PM,20,0,9.6,314,14.9,50.8,73.1,71,42,46,25.51,0,29,4,19,4.29.20
693,2528,9:00 PM,21,0,9.4,312,22,50.6,72,71,42,46,25.51,0,29,4,19,4.29.21
694,2628,10:00 PM,22,0,11.2,302,22.4,51.4,70.9,69,42,46,25.5,0,29,4,19,4.29.22
695,2728,11:00 PM,23,0,12.4,299,29.4,51.8,70,73,43,47,25.51,0,29,4,19,4.29.23
696,2828,12:00 AM,0,0,22,312,35.8,51.9,69.1,71,43,47,25.49,0,29,4,19,4.29.0
697,529,1:00 AM,1,0,19.8,309,31,51.4,68.3,72,43,46,25.5,0,30,4,19,4.30.1
698,629,2:00 AM,2,0,16.3,297,25.6,50.5,67.6,74,43,46,25.51,0,30,4,19,4.30.2
699,729,3:00 AM,3,0,8.3,296,20,50.1,66.8,75,42,46,25.52,0,30,4,19,4.30.3
700,829,4:00 AM,4,0,2.8,275,6.9,48.5,66.1,79,42,45,25.53,0,30,4,19,4.30.4
701,929,5:00 AM,5,0.1,0.9,251,3.8,48.3,65.5,79,42,45,25.54,0,30,4,19,4.30.5
702,1029,6:00 AM,6,5.3,1.4,112,5.8,48.8,64.8,77,42,45,25.56,0,30,4,19,4.30.6
703,1129,7:00 AM,7,23.6,1.4,162,6.5,54.9,64.1,65,43,48,25.58,0,30,4,19,4.30.7
704,1229,8:00 AM,8,42.6,3.4,199,11.1,56.1,63.6,62,43,49,25.59,0,30,4,19,4.30.8
705,1329,9:00 AM,9,59.2,4.7,209,14.1,57.4,63.2,56,42,49,25.6,0,30,4,19,4.30.9
706,1429,10:00 AM,10,72.5,6.3,225,15.1,59.2,63.1,46,38,48,25.6,0,30,4,19,4.30.10
707,1529,11:00 AM,11,80.6,5.6,216,15.5,60.5,63.1,45,39,49,25.61,0,30,4,19,4.30.11
708,1629,12:00 PM,12,82,5.5,212,16.7,61.6,63.8,45,40,50,25.6,0,30,4,19,4.30.12
709,1729,1:00 PM,13,82.1,5.7,209,17.7,63,65,41,39,50,25.59,0,30,4,19,4.30.13
710,1829,2:00 PM,14,76.9,4.9,211,13.2,66.4,66.6,32,36,50,25.58,0,30,4,19,4.30.14
711,1929,3:00 PM,15,58.5,5.2,209,17.7,67,68.5,31,36,50,25.56,0,30,4,19,4.30.15
712,2029,4:00 PM,16,49.1,5.9,222,16.9,67.3,70.1,29,34,49,25.54,0,30,4,19,4.30.16
713,2129,5:00 PM,17,33.1,5.7,231,15.3,67.7,71.5,28,33,49,25.53,0,30,4,19,4.30.17
714,2229,6:00 PM,18,8.5,3.8,230,12.9,66,72.4,28,32,48,25.52,0,30,4,19,4.30.18
715,2329,7:00 PM,19,0.4,8.6,282,15.9,62.2,72.8,27,28,45,25.53,0,30,4,19,4.30.19
716,2429,8:00 PM,20,0,11.1,284,19.1,60.6,72.6,23,22,43,25.54,0,30,4,19,4.30.20
717,2529,9:00 PM,21,0,14,302,25.8,58.8,72.2,24,22,42,25.55,0,30,4,19,4.30.21
718,2629,10:00 PM,22,0,14.8,309,29.1,54.4,71.5,46,34,44,25.55,0,30,4,19,4.30.22
719,2729,11:00 PM,23,0,14.6,302,29.6,52.2,70.7,53,36,44,25.56,0,30,4,19,4.30.23
720,2829,12:00 AM,0,0,18.6,305,39.6,51.7,69.9,52,35,43,25.56,0,30,4,19,4.30.0
721,5,1:00 AM,1,0,18.7,318,39.7,50.2,69.1,59,36,43,25.56,0,1,5,19,5.1.1
722,6,2:00 AM,2,0,21,304,36,49,68.2,63,37,43,25.56,0,1,5,19,5.1.2
723,7,3:00 AM,3,0,18.4,310,30,48.3,67.4,66,38,43,25.57,0,1,5,19,5.1.3
724,8,4:00 AM,4,0,16.6,317,26.6,48.7,66.6,63,37,43,25.59,0,1,5,19,5.1.4
725,9,5:00 AM,5,0.1,13.8,311,22.1,50.4,65.9,57,36,43,25.61,0,1,5,19,5.1.5
726,10,6:00 AM,6,5.6,13.5,312,21.5,50.7,65.1,57,36,43,25.62,0,1,5,19,5.1.6
727,11,7:00 AM,7,24.5,14,313,21.7,52.3,64.4,50,34,43,25.65,0,1,5,19,5.1.7
728,12,8:00 AM,8,42.9,13.9,313,24.9,54,63.9,43,32,43,25.67,0,1,5,19,5.1.8
729,13,9:00 AM,9,59.3,12.5,314,24.6,55.4,63.5,36,29,43,25.68,0,1,5,19,5.1.9
730,14,10:00 AM,10,72.4,8.9,308,20.3,58.9,63.3,35,31,45,25.69,0,1,5,19,5.1.10
731,15,11:00 AM,11,80.6,5.3,117,11,62.2,63.4,33,33,47,25.69,0,1,5,19,5.1.11
732,16,12:00 PM,12,83.9,3.5,75,13.2,64.1,64.1,30,32,47,25.69,0,1,5,19,5.1.12
733,17,1:00 PM,13,83,5,71,13.1,65.4,65.6,28,31,48,25.68,0,1,5,19,5.1.13
734,18,2:00 PM,14,75.6,3.8,123,13.8,67.3,67.6,27,32,49,25.67,0,1,5,19,5.1.14
735,19,3:00 PM,15,61.7,3.7,217,14.8,67.9,69.7,26,32,49,25.66,0,1,5,19,5.1.15
736,20,4:00 PM,16,42.2,5,129,14,67,71.6,26,31,48,25.66,0,1,5,19,5.1.16
737,21,5:00 PM,17,28.3,4.9,56,12.7,66.8,73,24,29,48,25.65,0,1,5,19,5.1.17
738,22,6:00 PM,18,8.4,8.2,308,16.1,63.3,73.9,23,25,45,25.64,0,1,5,19,5.1.18
739,23,7:00 PM,19,0.6,9,309,13.3,60.8,74.2,24,24,44,25.64,0,1,5,19,5.1.19
740,24,8:00 PM,20,0,8.4,305,13.5,59.5,74,26,24,43,25.66,0,1,5,19,5.1.20
741,25,9:00 PM,21,0,5.2,282,9.7,58.6,73.4,28,25,43,25.67,0,1,5,19,5.1.21
742,26,10:00 PM,22,0,5.1,62,11.5,58,72.7,28,25,43,25.69,0,1,5,19,5.1.22
743,27,11:00 PM,23,0,5.6,37,9.5,58.4,71.9,27,24,43,25.7,0,1,5,19,5.1.23
744,28,12:00 AM,0,0,1.6,317,6.9,54,71.1,38,29,42,25.71,0,1,5,19,5.1.0
745,51,1:00 AM,1,0,3.3,278,4.8,51.5,70.3,44,30,41,25.7,0,2,5,19,5.2.1
746,61,2:00 AM,2,0,2.6,284,5.3,52,69.5,41,29,41,25.68,0,2,5,19,5.2.2
747,71,3:00 AM,3,0,3.6,277,5.6,51,68.7,44,30,41,25.68,0,2,5,19,5.2.3
748,81,4:00 AM,4,0,3.2,274,5.6,50.3,67.9,44,29,40,25.68,0,2,5,19,5.2.4
749,91,5:00 AM,5,0.1,3.5,273,5.8,51.3,67.2,40,28,40,25.68,0,2,5,19,5.2.5
750,101,6:00 AM,6,5.9,3,277,5.1,52.2,66.4,43,30,41,25.68,0,2,5,19,5.2.6
751,111,7:00 AM,7,24.9,2.2,84,5.8,62.5,65.5,26,27,45,25.7,0,2,5,19,5.2.7
752,121,8:00 AM,8,38.5,2.6,102,8,64.5,65,22,25,45,25.71,0,2,5,19,5.2.8
753,131,9:00 AM,9,58.3,3.6,119,10.2,66,64.7,21,25,46,25.71,0,2,5,19,5.2.9
754,141,10:00 AM,10,70.9,4.9,132,12.6,67.3,64.6,20,25,47,25.72,0,2,5,19,5.2.10
755,151,11:00 AM,11,77.8,5,141,16.2,68.4,64.9,20,25,47,25.72,0,2,5,19,5.2.11
756,161,12:00 PM,12,74.7,5.4,164,13.8,68.5,65.7,20,26,48,25.71,0,2,5,19,5.2.12
757,171,1:00 PM,13,66.3,4.4,186,14,69,67.2,21,27,48,25.69,0,2,5,19,5.2.13
758,181,2:00 PM,14,67.9,4.7,152,13.2,71.2,68.8,19,27,49,25.68,0,2,5,19,5.2.14
759,191,3:00 PM,15,48.8,3.8,202,12.8,70.9,70.5,18,26,48,25.67,0,2,5,19,5.2.15
760,201,4:00 PM,16,35.4,4,281,10.8,70.7,72,18,26,48,25.65,0,2,5,19,5.2.16
761,211,5:00 PM,17,28.6,3.5,193,11.2,71.3,73.2,16,23,48,25.65,0,2,5,19,5.2.17
762,221,6:00 PM,18,10.5,4.3,274,9.2,69.3,73.8,17,22,47,25.65,0,2,5,19,5.2.18
763,231,7:00 PM,19,0.6,3.3,286,6.7,64.1,74.2,23,26,46,25.65,0,2,5,19,5.2.19
764,241,8:00 PM,20,0,4.8,298,7.1,62.5,74,24,25,45,25.66,0,2,5,19,5.2.20
765,251,9:00 PM,21,0,4.8,303,6.9,61.1,73.6,26,26,44,25.67,0,2,5,19,5.2.21
766,261,10:00 PM,22,0,4.5,292,7.8,61.9,72.9,24,25,44,25.67,0,2,5,19,5.2.22
767,271,11:00 PM,23,0,3.4,275,5.6,60.4,72.2,28,27,44,25.67,0,2,5,19,5.2.23
768,281,12:00 AM,0,0,1.9,296,5,56.1,71.4,33,27,42,25.67,0,2,5,19,5.2.0
769,52,1:00 AM,1,0,3.9,280,5.8,55.6,70.6,34,28,42,25.66,0,3,5,19,5.3.1
770,62,2:00 AM,2,0,4,277,5.7,56.2,69.9,34,28,43,25.66,0,3,5,19,5.3.2
771,72,3:00 AM,3,0,4.9,275,7.1,56.8,69.1,32,27,43,25.66,0,3,5,19,5.3.3
772,82,4:00 AM,4,0,5.4,269,8.2,58,68.4,30,26,43,25.66,0,3,5,19,5.3.4
773,92,5:00 AM,5,0.2,4.7,281,5.8,53.9,67.7,38,29,42,25.66,0,3,5,19,5.3.5
774,102,6:00 AM,6,6.2,4.5,282,6,54.6,67.1,40,31,43,25.67,0,3,5,19,5.3.6
775,112,7:00 AM,7,24.8,1.7,309,4.2,67.8,66.3,22,27,47,25.69,0,3,5,19,5.3.7
776,122,8:00 AM,8,43.6,2.5,358,7.8,71.2,65.8,17,24,48,25.7,0,3,5,19,5.3.8
777,132,9:00 AM,9,60.2,4.8,112,9.9,71.6,65.5,17,24,48,25.71,0,3,5,19,5.3.9
778,142,10:00 AM,10,69.2,3.7,196,11.8,72.8,65.5,17,25,49,25.71,0,3,5,19,5.3.10
779,152,11:00 AM,11,78.9,4.4,152,14.8,74.1,65.8,15,23,49,25.71,0,3,5,19,5.3.11
780,162,12:00 PM,12,81.7,3.8,176,12.8,74.6,66.6,15,24,49,25.7,0,3,5,19,5.3.12
781,172,1:00 PM,13,81.6,4.6,126,16.2,74.5,68.1,14,23,49,25.68,0,3,5,19,5.3.13
782,182,2:00 PM,14,76.7,4.6,194,14.6,76.5,70.1,13,22,50,25.67,0,3,5,19,5.3.14
783,192,3:00 PM,15,65.1,4.4,176,15,76.6,72.1,12,21,49,25.65,0,3,5,19,5.3.15
784,202,4:00 PM,16,49.7,5,219,12.8,76.1,74,12,20,49,25.63,0,3,5,19,5.3.16
785,212,5:00 PM,17,31.6,5.1,262,10.7,76.2,75.5,11,19,49,25.63,0,3,5,19,5.3.17
786,222,6:00 PM,18,8.9,2.8,249,11.4,73.4,76.5,13,20,48,25.62,0,3,5,19,5.3.18
787,232,7:00 PM,19,0.5,1.5,288,3.7,67.8,76.9,19,24,47,25.61,0,3,5,19,5.3.19
788,242,8:00 PM,20,0,2.8,282,4.1,64,76.7,25,27,46,25.62,0,3,5,19,5.3.20
789,252,9:00 PM,21,0,3.3,275,4.3,60.3,76.2,30,29,45,25.63,0,3,5,19,5.3.21
790,262,10:00 PM,22,0,3.7,282,5.1,59.9,75.5,30,28,44,25.64,0,3,5,19,5.3.22
791,272,11:00 PM,23,0,3,283,4.5,59.6,74.7,30,28,44,25.63,0,3,5,19,5.3.23
792,282,12:00 AM,0,0,5.9,323,12.3,64.3,73.8,23,26,46,25.62,0,3,5,19,5.3.0
793,53,1:00 AM,1,0,8.4,306,13.3,64.7,73,22,25,45,25.61,0,4,5,19,5.4.1
794,63,2:00 AM,2,0,5.7,284,10.1,64,72.2,23,25,45,25.6,0,4,5,19,5.4.2
795,73,3:00 AM,3,0,7.4,315,14.6,64.6,71.5,22,25,45,25.6,0,4,5,19,5.4.3
796,83,4:00 AM,4,0,9,309,13.7,63.6,70.9,20,22,44,25.59,0,4,5,19,5.4.4
797,93,5:00 AM,5,0.2,7.5,294,14.7,62.4,70.3,19,19,43,25.6,0,4,5,19,5.4.5
798,103,6:00 AM,6,6.4,4.4,273,8.8,63.9,69.7,19,21,44,25.6,0,4,5,19,5.4.6
799,113,7:00 AM,7,25.3,1.4,315,4.3,71.1,69,17,24,48,25.61,0,4,5,19,5.4.7
800,123,8:00 AM,8,43.8,2.7,54,7.8,73.5,68.6,16,24,49,25.62,0,4,5,19,5.4.8
801,133,9:00 AM,9,60.4,4.7,122,11.7,73.8,68.3,16,24,49,25.63,0,4,5,19,5.4.9
802,143,10:00 AM,10,73.1,4.5,184,14.2,74.7,68.2,15,25,50,25.63,0,4,5,19,5.4.10
803,153,11:00 AM,11,81.1,5.3,149,13.3,75.6,68.5,15,25,50,25.63,0,4,5,19,5.4.11
804,163,12:00 PM,12,84.8,5,171,17.1,76.3,69.4,14,24,50,25.62,0,4,5,19,5.4.12
805,173,1:00 PM,13,82.8,4.9,210,13.6,76.4,70.9,13,21,49,25.6,0,4,5,19,5.4.13
806,183,2:00 PM,14,75.4,4.6,197,14.9,77.2,72.8,12,20,50,25.59,0,4,5,19,5.4.14
807,193,3:00 PM,15,63.3,4.3,219,14.2,77.8,74.8,11,18,49,25.57,0,4,5,19,5.4.15
808,203,4:00 PM,16,49.7,4.3,204,15.1,77.4,76.5,10,16,49,25.56,0,4,5,19,5.4.16
809,213,5:00 PM,17,32.1,4.7,224,15.9,77.3,77.8,10,17,49,25.55,0,4,5,19,5.4.17
810,223,6:00 PM,18,9.3,2.7,218,10,74.9,78.7,11,17,48,25.54,0,4,5,19,5.4.18
811,233,7:00 PM,19,0.6,1.2,303,3.1,68.2,79,16,19,46,25.54,0,4,5,19,5.4.19
812,243,8:00 PM,20,0,3.2,282,5.3,64.4,78.8,19,22,45,25.55,0,4,5,19,5.4.20
813,253,9:00 PM,21,0,4.8,303,12.1,65.1,78.2,19,22,45,25.55,0,4,5,19,5.4.21
814,263,10:00 PM,22,0,12.2,320,22.7,67.7,77.4,19,24,47,25.55,0,4,5,19,5.4.22
815,273,11:00 PM,23,0,14.7,316,23.4,65.7,76.6,22,26,46,25.55,0,4,5,19,5.4.23
816,283,12:00 AM,0,0,9.7,298,16.3,64.3,75.8,23,26,46,25.54,0,4,5,19,5.4.0
817,54,1:00 AM,1,0,9,303,15.3,63.4,75,23,25,45,25.53,0,5,5,19,5.5.1
818,64,2:00 AM,2,0,12.1,308,18.6,62.7,74.3,23,24,44,25.52,0,5,5,19,5.5.2
819,74,3:00 AM,3,0,13.8,313,21.7,62.2,73.5,22,23,44,25.51,0,5,5,19,5.5.3
820,84,4:00 AM,4,0,12.3,313,21.7,62.2,72.9,22,23,44,25.51,0,5,5,19,5.5.4
821,94,5:00 AM,5,0.1,10.9,314,18.3,61.8,72.2,22,23,44,25.51,0,5,5,19,5.5.5
822,104,6:00 AM,6,6.5,8.7,313,15.6,62,71.6,22,23,44,25.52,0,5,5,19,5.5.6
823,114,7:00 AM,7,25.9,9.9,326,17.7,63.9,70.9,22,24,45,25.53,0,5,5,19,5.5.7
824,124,8:00 AM,8,44.6,9.1,310,15.3,66.4,70.4,21,25,46,25.54,0,5,5,19,5.5.8
825,134,9:00 AM,9,61.3,5.7,297,13.1,69.7,70,18,24,47,25.54,0,5,5,19,5.5.9
826,144,10:00 AM,10,74.3,5.7,128,14,72,69.8,16,23,48,25.55,0,5,5,19,5.5.10
827,154,11:00 AM,11,82.6,6.3,94,13.4,72.8,70,15,22,48,25.55,0,5,5,19,5.5.11
828,164,12:00 PM,12,86.3,4.9,175,12.2,74.2,70.7,12,18,48,25.54,0,5,5,19,5.5.12
829,174,1:00 PM,13,83.9,5.5,175,16.9,74.3,72.1,10,13,47,25.53,0,5,5,19,5.5.13
830,184,2:00 PM,14,78.5,5.6,209,18.1,75.2,73.9,9,14,48,25.51,0,5,5,19,5.5.14
831,194,3:00 PM,15,66.8,6,196,21.7,74.9,75.8,9,13,47,25.5,0,5,5,19,5.5.15
832,204,4:00 PM,16,51.4,5.4,142,21,74.9,77.4,9,13,47,25.49,0,5,5,19,5.5.16
833,214,5:00 PM,17,32.8,6.4,145,18.6,74.4,78.8,10,15,47,25.48,0,5,5,19,5.5.17
834,224,6:00 PM,18,9.5,6.1,110,18.9,71.9,79.6,11,14,46,25.47,0,5,5,19,5.5.18
835,234,7:00 PM,19,0.5,5.3,230,13.6,68.4,79.9,12,15,45,25.47,0,5,5,19,5.5.19
836,244,8:00 PM,20,0,3.1,277,9.1,65.6,79.7,13,14,43,25.48,0,5,5,19,5.5.20
837,254,9:00 PM,21,0,1.1,18,7.4,62.2,79.1,19,19,43,25.49,0,5,5,19,5.5.21
838,264,10:00 PM,22,0,10.1,320,18.7,60.3,78.3,36,33,46,25.49,0,5,5,19,5.5.22
839,274,11:00 PM,23,0,15.8,312,25.5,57.4,77.4,45,36,46,25.49,0,5,5,19,5.5.23
840,284,12:00 AM,0,0,16.3,313,29.9,55.4,76.5,49,37,46,25.48,0,5,5,19,5.5.0
841,55,1:00 AM,1,0,18.4,312,26.8,54.1,75.7,54,38,45,25.48,0,6,5,19,5.6.1
842,65,2:00 AM,2,0,20.3,310,31.5,52.5,74.8,58,38,45,25.47,0,6,5,19,5.6.2
843,75,3:00 AM,3,0,19.2,308,31.7,51.4,74,60,38,44,25.48,0,6,5,19,5.6.3
844,85,4:00 AM,4,0,18.1,313,29.4,51.3,73.2,60,38,44,25.48,0,6,5,19,5.6.4
845,95,5:00 AM,5,0.2,18.3,315,28.3,50.5,72.5,61,38,44,25.48,0,6,5,19,5.6.5
846,105,6:00 AM,6,6.7,16.6,310,26.2,50.3,71.7,61,37,44,25.5,0,6,5,19,5.6.6
847,115,7:00 AM,7,25.9,13.3,315,22.3,53.2,70.9,52,36,44,25.52,0,6,5,19,5.6.7
848,125,8:00 AM,8,43.9,10.1,308,18.8,56.1,70.3,48,37,46,25.53,0,6,5,19,5.6.8
849,135,9:00 AM,9,59.6,4.3,209,10.8,60.3,69.8,41,36,47,25.54,0,6,5,19,5.6.9
850,145,10:00 AM,10,70.1,5.6,105,13.6,61.6,69.5,38,36,48,25.55,0,6,5,19,5.6.10
851,155,11:00 AM,11,65.8,6.6,119,17,62.8,69.5,34,34,48,25.55,0,6,5,19,5.6.11
852,165,12:00 PM,12,66.4,6.2,124,16.1,63.7,70.1,31,32,47,25.55,0,6,5,19,5.6.12
853,175,1:00 PM,13,63.8,8,111,21.2,63.5,71.1,32,33,47,25.55,0,6,5,19,5.6.13
854,185,2:00 PM,14,45,4.5,142,15.1,64.4,72.3,29,31,47,25.54,0,6,5,19,5.6.14
855,195,3:00 PM,15,29.6,3.6,165,12.7,63.8,73.6,27,29,46,25.53,0,6,5,19,5.6.15
856,205,4:00 PM,16,53.6,4.8,236,13,66.5,74.4,23,28,47,25.53,0,6,5,19,5.6.16
857,215,5:00 PM,17,31.6,3.6,233,13,66.2,75.1,24,28,47,25.53,0,6,5,19,5.6.17
858,225,6:00 PM,18,2.2,3.3,266,10.2,62.2,75.7,28,28,45,25.52,0,6,5,19,5.6.18
859,235,7:00 PM,19,0.3,7,333,21.6,60.1,76,33,31,45,25.53,0,6,5,19,5.6.19
860,245,8:00 PM,20,0,8.9,310,22.9,57.7,75.9,39,33,45,25.54,0,6,5,19,5.6.20
861,255,9:00 PM,21,0,9.7,305,23.2,56.7,75.5,41,33,45,25.55,0,6,5,19,5.6.21
862,265,10:00 PM,22,0,11.7,321,26.7,55.2,75,44,34,44,25.56,0,6,5,19,5.6.22
863,275,11:00 PM,23,0,14.7,323,25.9,53.5,74.4,50,35,44,25.56,0,6,5,19,5.6.23
864,285,12:00 AM,0,0,17.4,319,24.9,52.1,73.7,54,36,44,25.57,0,6,5,19,5.6.0
865,56,1:00 AM,1,0,15.5,321,21.2,51.8,73,55,36,44,25.57,0,7,5,19,5.7.1
866,66,2:00 AM,2,0,13.6,317,19.5,51.7,72.3,56,36,44,25.57,0,7,5,19,5.7.2
867,76,3:00 AM,3,0,13.1,311,18.6,52.2,71.6,54,36,44,25.57,0,7,5,19,5.7.3
868,86,4:00 AM,4,0,10.3,309,18.9,52.3,70.9,53,36,44,25.58,0,7,5,19,5.7.4
869,96,5:00 AM,5,0.2,5.6,297,13.8,52.1,70.3,52,35,43,25.59,0,7,5,19,5.7.5
870,106,6:00 AM,6,7,2.7,242,8.4,53.4,69.6,50,35,44,25.62,0,7,5,19,5.7.6
871,116,7:00 AM,7,25.8,4.4,284,10.1,57.7,68.9,44,36,46,25.64,0,7,5,19,5.7.7
872,126,8:00 AM,8,43.8,3.5,308,10,59.9,68.4,41,36,47,25.66,0,7,5,19,5.7.8
